業種,企業コード,市場,企業名,URL,概要
卸売業,3374,JQS,内外テック(株),http://www.naigaitec.co.jp/,半導体製造装置の部品の仕入れ販売、受託製造事業が２本柱。東京エレクトロンへの依存度高い
小売業,3375,JQS,(株)ＺＯＡ,http://www.zoa.co.jp/,バイク用品販売併設のＰＣ販売店を展開。東海が地盤、首都圏を開拓中。ネット通販にも注力
小売業,3376,JQS,(株)オンリー,http://only.co.jp/,「ザ・スーパースーツストア」等ツープライス店軸に自社ブランド紳士服を販売。丸井と業務提携
卸売業,3377,東証2部,(株)バイク王＆カンパニー,http://www.8190.co.jp/,中古２輪車買い取り最大手。専門店「バイク王」を全国展開。査定、買い取りシステムを標準化
小売業,3382,東証1部,(株)セブン＆アイ・ホールディングス,http://www.7andi.com/,国内２位の流通コングロマリット。セブン‐イレブン、ヨーカ堂を核に七つの事業領域を展開
卸売業,3383,名古屋セ,(株)ノア,http://www.noahcorporation.com/,中古半導体装置が発祥の商社。不振の半導体装置卸は凍結、ＬＥＤ照明卸等への業態転換急ぐ
卸売業,3384,名古屋セ,(株)アークコア,http://www.arkcore.co.jp/,中古バイク買い取りの「ゲオバイク」をＷｅｂと店舗で運営。直営店強化。ゲオグループ離脱
小売業,3385,JQS,(株)薬王堂,http://www.yakuodo.co.jp/,独立系ドラッグストア。食品、化粧品も展開。地盤の岩手に加え宮城、青森、秋田で集中出店
卸売業,3386,JQS,コスモ・バイオ(株),http://www.cosmobio.co.jp/,バイオ専門商社。研究試薬、実験機器、臨床検査薬を販売。細胞関連製品開発の子会社を持つ
小売業,3387,マザーズ,(株)クリエイト・レストランツＨＤ,http://www.create-restaurants.co.jp/,ＳＣ等の飲食フロアにビュッフェやカフェ展開。立地ごとに業態開発。居酒屋やレストランも
卸売業,3388,JQS,明治電機工業(株),http://www.meijidenki.co.jp/,技術商社でＦＡエンジニアリング得意。トヨタ関連４割前後。海外とＭ＆Ａ意欲。無借金経営
卸売業,3390,JQS,ユニバーサルソリューションシステムズ(株),http://www.u-s-systems.co.jp/,携帯の法人販売や人材関連事業切り離し、強みの外食向けシステム開発に集中。光通信の子会社
小売業,3391,東証1部,(株)ツルハホールディングス,http://www.tsuruha-hd.co.jp/,ドラッグストア大手の一角。北海道を起点に南下して勢力を東日本に拡大、Ｍ＆Ａに積極的
卸売業,3392,東証2部,デリカフーズ(株),http://www.delica.co.jp/,外食産業、ファストフード向けカット野菜、生鮮ホール野菜が主力。カット野菜では国内最大手
卸売業,3393,マザーズ,スターティア(株),http://www.startia.co.jp/,中小・中堅企業向けのＩＴ関連機器を販売。電子書籍作成ソフト事業が急成長。配当性向１０％
卸売業,3394,マザーズ,(株)ネットワークバリューコンポネンツ,http://www.nvc.co.jp/,ネットワーク関連のハード・ソフト販売と運用・保守。通信、官公庁に強み、情報セキュリティも
小売業,3395,東証1部,(株)サンマルクホールディングス,http://www.saint-marc-hd.com/,直営「サンマルクカフェ」が収益源。同名レストランはＦＣ主力。「鎌倉パスタ」育成中。好財務
小売業,3396,東証1部,(株)フェリシモ,http://www.felissimo.co.jp/,通販で衣料品、住宅用品、美容関連などの生活関連品を扱う。中・長期購入予約型商品に特徴
小売業,3397,東証1部,(株)トリドール,http://www.toridoll.com/,焼き鳥店発祥。低価格のセルフ式うどん「丸亀製麺」にシフト。ロードサイド中心に積極出店
小売業,3398,東証1部,(株)クスリのアオキ,http://www.kusuri-aoki.co.jp/,北陸３県で最大手のドラッグストア。長野、新潟にも進出。イオン系。調剤併設店を拡大中
小売業,3399,JQS,(株)丸千代山岡家,http://www.yamaokaya.com/,北海道地盤のラーメンチェーン。幹線道路沿いに展開。スープ等店舗作業多い。大阪王将ＦＣも
繊維製品,3401,東証1部,帝人(株),http://www.teijin.co.jp/,独立系の合成繊維大手。繊維、フィルムで構造改革。炭素繊維世界２位。医薬医療併営。環境経営
繊維製品,3402,東証1部,東レ(株),http://www.toray.co.jp/,合繊最大手。フィルムは電子材料分野にも強み。炭素繊維世界首位。水処理用の逆浸透膜も有力
化学,3405,東証1部,(株)クラレ,http://www.kuraray.co.jp/,高機能素材に強い化学メーカー。水溶性樹脂ポバール、ガスバリア樹脂エバールで世界首位
化学,3407,東証1部,旭化成(株),http://www.asahi-kasei.co.jp/,１９２２年創業の総合化学企業。化成品や繊維、住宅、建材、電子部材、医薬・医療など事業多彩
繊維製品,3408,東証1部,サカイオーベックス(株),http://www.sakaiovex.co.jp/,織布からの一貫に特色の精練染色加工大手。東レと緊密。織編物・衣料販売、電子、魚礁、建設も
繊維製品,3409,大証2部,北日本紡績(株),http://www.ktbo.co.jp/,地元有志設立。帝人からの受託主体。生産は本社の松任工場へ集約。製品も仮撚やめ紡績糸特化
金属製品,3420,大証2部,(株)ケー・エフ・シー,http://www.kfc-net.co.jp/,土木建設資材販売、施工。アンカー２位、ロックボルトのシェア７割。耐震耐火補強工事に強み
金属製品,3421,東証1部,(株)稲葉製作所,http://www.inaba-ss.co.jp/,鋼製物置で業界首位。オフィス家具は自社ブランドのほか内田洋行等へＯＥＭを展開。好財務
金属製品,3422,名証2部,(株)丸順,http://www.marujun.co.jp/,プレス部品、金型中堅。中国やタイでも展開。超高張力鋼に強み。自動車部品の８割がホンダ向け
金属製品,3423,JQS,(株)エスイー,http://www.se-corp.com/,ＰＣ用の定着工法で成長。落橋防止装置はシェアトップ。仏アンジェロップ社と合弁子会社
金属製品,3424,JQS,ミヤコ(株),http://www.miyako-inc.jp/,戸建て、マンション向けに給排水器具、配管部材等管材を開発、販売。生産はすべて外部委託
金属製品,3426,JQS,アトムリビンテック(株),http://www.atomlt.com/,家具金具等の住宅用内装金具を企画・販売。ファブレス経営で開発力に強み。約８割が独自商品
金属製品,3431,東証1部,宮地エンジニアリンググループ(株),http://www.miyaji-eng.com/,宮地鐵工所、宮地建設工業が統合。構造改革中。駒井ハルテックと技術提携。橋梁の架設力強い
金属製品,3433,東証1部,トーカロ(株),http://www.tocalo.co.jp/,高機能皮膜を形成する溶射加工最大手。半導体・液晶製造装置部品向けが主力。産機、鉄鋼関連も
金属製品,3434,東証1部,(株)アルファ,http://www.kk-alpha.com/,キーセットなど自動車部品主力。日産向け６割強、富士重等も。住宅等の施錠部品も手掛ける
金属製品,3435,JQS,サンコーテクノ(株),http://www.sanko-techno.co.jp/,機器をコンクリート等に固定する特殊ネジ最大手。多品種少量供給体制に強み。独自技術定評
金属製品,3436,東証1部,(株)ＳＵＭＣＯ,http://www.sumcosi.com/,旧住友金属と三菱マテリアルのシリコンウエハ統合、コマツ系も合流。半導体用世界首位級
金属製品,3437,JQS,特殊電極(株),http://www.tokuden.co.jp/,独立系。耐摩耗、耐食など特殊溶接材料を製販。溶接工事も行う。鉄鋼、機械、プラントが需要先
金属製品,3439,JQS,(株)三ツ知,http://www.mitsuchi.co.jp/,シート用など自動車部品が主力。冷間鍛造技術に強み。シロキ工業向け比率高い。海外展開急ぐ
金属製品,3440,福岡Q,日創プロニティ(株),http://www.kakou-nisso.co.jp/,建築材料の金属加工。一貫オーダー加工に強み、メガソーラー用架台や外装パネルに強み発揮
金属製品,3441,JQS,(株)山王,http://www.sanno.co.jp/,コネクターへの貴金属メッキ加工が主力で精密プレスも。ニッケルバリアに強み。中、比に拠点
金属製品,3442,名証2部,(株)ＭＩＥコーポレーション,http://www.mie-corp.jp/,ステンレス製管継ぎ手、フランジの大手メーカー。０８年１月にＭＩＥテクノグループを再編
金属製品,3443,東証1部,川田テクノロジーズ(株),http://www.kawada.jp/,鉄骨と鋼橋、ＰＣ土木、システム建築の総合最大手。航空事業兼営。ロボットなど先端分野育成
金属製品,3444,JQS,(株)菊池製作所,http://www.kikuchiseisakusho.co.jp/,板金、成形や金型開発が主力。携帯電話や複合機、デジカメ等の試作に強み。小規模量産受託も
繊維製品,3501,東証1部,住江織物(株),http://suminoe.jp/,カーペットや自動車用内装などが主力。国会の赤じゅうたんなども納入する名門繊維企業
繊維製品,3512,東証1部,日本フエルト(株),http://www.felt.co.jp/,抄紙用フェルト市場をイチカワと二分。工業用も展開。台湾子会社経由で中国等アジア市場開拓
繊維製品,3513,東証1部,イチカワ(株),http://www.ik-felt.co.jp/,抄紙用フェルトでは日本フエルトと国内市場二分。抄紙用ベルト併営、欧州はじめ輸出も多い
繊維製品,3514,東証1部,日本バイリーン(株),http://www.vilene.co.jp/,不織布国内最大手。世界首位のフロイデンベルグと国際連携。ＨＶ用電池セパレーターを育成
繊維製品,3515,JQS,(株)フジコー,http://www.fujico-jp.com/,不織布・フェルト総合メーカー。各種産業資材から消費財まで多岐。環境・エネルギー関連強化
不動産業,3521,東証1部,エコナックホールディングス(株),http://www.econach.co.jp/,旧日本レース。刺しゅうレースは生産停止し企画特化。ゴルフ場、不動産柱に化粧品など多角化
繊維製品,3524,東証1部,日東製網(株),http://www.nittoseimo.co.jp/,合繊製無結節網の最大手。漁網と漁労機器が主力。タイ拠点軸に東南アジア等海外開拓に傾注
繊維製品,3526,東証1部,芦森工業(株),http://www.ashimori.co.jp/,消防用ホース大手。主力は産業資材、特に自動車用シートベルトなど安全部品拡充に注力
不動産業,3528,東証2部,(株)グローベルス,http://www.gro-bels.co.jp/,発祥は繊維のかろりーな。マンション分譲へ事業転換。大京が持株譲渡。戸建て注文住宅に参入
繊維製品,3529,東証1部,アツギ(株),http://www.atsugi.co.jp/,ストッキングやインナーの国内大手。生産は関係会社。中国へ生産移管、拡販模索。不動産賃貸も
繊維製品,3551,東証1部,ダイニック(株),http://www.dynic.co.jp/,書籍用クロスと染色から出発。基材・製膜技術を軸に情報関連、自動車内装材、不織布など展開
化学,3553,東証1部,共和レザー(株),http://www.kyowale.co.jp/,トヨタ系合成樹脂製品の総合メーカー。自動車内装用レザー大手。環境対応商材の開発を強化
繊維製品,3569,東証1部,セーレン(株),http://www.seiren.com/,１８８９年精練発祥。素材で旧カネボウ事業譲受、製品は自動車シート材、衣料等へ垂直展開
繊維製品,3571,東証2部,(株)ソトー,http://www.sotoh.co.jp/,毛織物染色大手、複合繊維も。不動産賃貸が下支え。ワールドと合弁でテキスタイルの企画会社
繊維製品,3577,東証1部,東海染工(株),http://www.tokai-senko.co.jp/,高級プリント大手。工場集約、ＳＰＡ直販強化を推進。東南アで一貫生産。保育所の運営受託も
繊維製品,3578,大証2部,倉庫精練(株),http://www.soko.co.jp/,化繊・合繊織物、編物の染色加工。東レが主な受託先。自社販売商品育成中。子会社で物流事業も
繊維製品,3580,東証1部,小松精練(株),http://www.komatsuseiren.co.jp/,ポリエス織編物の精練・染色・捺染加工の代表格。筆頭株主の東レが主納入先。製品企画力高い
繊維製品,3583,東証2部,オーベクス(株),http://www.aubex.co.jp/,フェルト生産技術の応用でペン先や医療用具を製造。医療用具を重点育成。祖業の製帽譲渡
卸売業,3587,JQS,(株)プリンシバル・コーポレーション,http://www.princi-baru.jp/,旧豊国産業。祖業の繊維は１０年に、海外資源開発は１２年、食品スーパー１３年撤退。主力事業模索
繊維製品,3591,東証1部,(株)ワコールホールディングス,http://www.wacoalholdings.jp/,婦人下着首位。子会社に主力ワコール、下着通販・小売りのピーチ・ジョン（ＰＪ）などを擁する
繊維製品,3593,東証1部,(株)ホギメディカル,http://www.hogy.co.jp/,医療用不織布トップ。医療用具を集めたキット製品受注システム「オペラマスター」を育成
繊維製品,3597,東証2部,(株)自重堂,http://www.jichodo.co.jp/,ワーキングウエア大手。医療用白衣、サービス業向けを開拓中。メンズカジュアルも手掛ける
繊維製品,3598,大証2部,山喜(株),http://www.e-yamaki.co.jp/,紳士用ドレス・カジュアルシャツ大手。夏季集中で上期偏重。バングラデシュなど海外生産強化
繊維製品,3599,JQS,(株)コーコス信岡,http://www.co-cos.co.jp/,ワーキングウエアの製造。企業ユニホームとＨＣ向け商材ほぼ半々。海外生産は中国依存漸減へ
繊維製品,3600,大証2部,(株)フジックス,http://www.fjx.co.jp/,１９２１年創業の縫い糸専業大手。家庭用は国内シェア約６割。０９年東洋紡ミシン糸の事業譲受
繊維製品,3604,東証2部,川本産業(株),http://www.kawamoto-sangyo.co.jp/,ガーゼ、脱脂綿、医療用衛生材料最大手。手術用品をセットで販売。介護用の口腔ケア用品育成
繊維製品,3606,東証1部,(株)レナウン,http://www.renown.com/,レナウンとダーバンが経営統合。不振続き、１０年中国の山東如意が筆頭株主に。１３年子会社化
繊維製品,3607,東証1部,(株)クラウディア,http://www.kuraudia.co.jp/,ウエディングドレスメーカー、中国に製造拠点。結婚式場運営も。ハワイ等海外にも営業展開
繊維製品,3608,東証1部,(株)ＴＳＩホールディングス,http://www.tsi-holdings.com/,百貨店やＳＣ向けに展開するアパレル大手。東京スタイルとサンエーが１１年６月持株会社設立
情報・通信,3620,東証1部,(株)デジタルハーツ,http://www.digitalhearts.co.jp/,専用機、モバイル向けゲームソフトの不具合検出（デバッグ）主力。９月２６日上場廃止、再上場へ
情報・通信,3622,マザーズ,ネットイヤーグループ(株),http://www.netyear.net/,ネット活用したマーケティング支援行う。経営コンサル、Ｗｅｂサイト制作まで総合的に提供
情報・通信,3623,マザーズ,ビリングシステム(株),http://www.billingjapan.co.jp/,インターネット使った決済サービス手掛ける。収納代行、クイック入金、融資取り次ぎが３本柱
情報・通信,3624,マザーズ,アクセルマーク(株),http://www.axelmark.co.jp/,セプテーニ傘下。主力の携帯コンテンツ配信はゲームに資源集中。１１年１０月エフルートと合併
情報・通信,3625,JQG,テックファーム(株),http://www.techfirm.co.jp/,独立系ソフトハウス。「Ｇガイドモバイル」等携帯電話向け開発に強い。読売新聞社と資本提携
情報・通信,3626,東証1部,ＩＴホールディングス(株),http://www.itholdings.co.jp/,独立系ＳＩ大手。クレジットカードなど金融向けが主。ＴＩＳ、インテックなど傘下に約４０社
情報・通信,3627,東証1部,ネオス(株),http://www.neoscorp.jp/,携帯向けに電子書籍、待ち受け画面コンテンツ等やアプリ、法人向けＷｅｂ支援事業を展開
情報・通信,3628,マザーズ,(株)データホライゾン,http://www.dhorizon.co.jp/,保険者向けのジェネリック医薬品通知サービスが柱。加入者の健康推進目的の保健事業支援も
情報・通信,3630,東証1部,(株)電算システム,http://www.densan-s.co.jp/,情報処理サービス開発中堅。国際送金など収納代行事業を拡大中。グーグルの販売代理店展開も
情報・通信,3632,東証1部,グリー(株),http://gree.jp/,携帯向け交流・ゲームサイト「ＧＲＥＥ」運営し急成長、業界大手。アイテム課金と広告が収益源
情報・通信,3633,JQS,(株)ｐａｐｅｒｂｏｙ＆ｃｏ．,http://www.paperboy.co.jp/,個人向けレンタルサーバーサービスが主、ネット店舗構築・販売支援を強化中。ＧＭＯの子会社
情報・通信,3634,マザーズ,(株)ソケッツ,http://www.sockets.co.jp/,携帯や動画配信サービス向けに、音楽・書籍データのジャンル別検索機能を提供。ａｕ向け主力
情報・通信,3635,東証1部,コーエーテクモホールディングス(株),http://www.koeitecmo.co.jp/,ゲームソフト中堅のコーエーとテクモが０９年経営統合。オンラインゲーム含め海外展開強化へ
情報・通信,3636,東証1部,(株)三菱総合研究所,http://www.mri.co.jp/,コンサルとＩＴシステムの２本柱。コンサルでは理系の研究者多数抱える。官公庁や金融に強み
情報・通信,3639,東証1部,(株)ボルテージ,http://www.voltage.co.jp/,恋愛シミュレーションゲーム先駆。携帯公式サイト向けやスマホへ配信。顧客は女性に特化
情報・通信,3640,東証1部,(株)電算,http://www.ndensan.co.jp/,信越地盤の情報処理・システム開発中堅。首都圏へも展開。市役所など地方自治体向けに強み
情報・通信,3641,JQS,(株)パピレス,http://www.papy.co.jp/,９５年富士通の社外ベンチャーとして出発。電子書籍販売、配信の先駆者。０７年から電子貸本も
情報・通信,3644,東証2部,１ｓｔホールディングス(株),http://www.1st-hd.com/,業務用アプリのパッケージ専業。帳票ツールで高シェア。内野社長によるＭＢＯで上場廃止予定
情報・通信,3645,マザーズ,日本メディカルネットコミュニケーションズ,http://www.japan-medic.com/,インプラント、矯正など自由診療歯科向けのポータルサイト運営。広告収益主体だが課金育成中
情報・通信,3646,マザーズ,(株)駅探,http://ekitan.com/,ネット使った電車、バス等の経路検索サービス「駅探」運営、携帯会員課金が収益源。法人向けも
情報・通信,3647,マザーズ,(株)コネクトホールディングス,http://www.connect-hd.co.jp/,傘下にギャル向け雑貨のＳＢＹ。ソフト開発が母体だったが、赤字続きで１２年秋に事業譲渡
情報・通信,3648,東証2部,ＡＧＳ(株),http://www.ags.co.jp/,旧協和銀、埼玉銀の情報システム会社がりそな傘下で統合。０４年連結離脱だが売上依存度３０％
情報・通信,3649,JQS,(株)ピーエスシー,http://www.psc-inc.co.jp/,愛媛本拠の医療システム会社。病院、診療所向け医療用データ管理システム「クライオ」が主力
情報・通信,3652,マザーズ,(株)ディジタルメディアプロフェッショナル,http://www.dmprof.com/,研究開発型ファブレス半導体企業。描画向け回路設計の使用許諾が主。任天堂ゲーム機向け大
情報・通信,3653,マザーズ,(株)モルフォ,http://www.morphoinc.com/,携帯電話用画像処理ソフトの開発のベンチャー。ドコモと資本提携。デジカメなど領域拡大
情報・通信,3654,東証2部,(株)ヒト・コミュニケーションズ,http://www.hitocom.net/,ビックカメラの人材派遣から独立。通信・家電商材などの営業支援。業務請負が主で人材派遣も
情報・通信,3655,マザーズ,(株)ブレインパッド,http://www.brainpad.co.jp/,企業データを分析し販促に活用するデータマイニング提供に強み。関連ソフト開発や販売も
情報・通信,3656,東証1部,ＫＬａｂ(株),http://www.klab.com/,受託開発出発。０９年ソーシャルゲーム参入で急成長。従来型携帯電話向けからスマホに転換中
情報・通信,3657,東証1部,ポールトゥウィン・ピットクルーＨＤ(株),http://www.poletowin-pitcrew-holdings.co.jp/,傘下にデバッグ・検証のポールトゥウィン、ネット看視のピットクルー。欧米、中・印に拠点
情報・通信,3658,マザーズ,(株)イーブックイニシアティブジャパン,http://corp.ebookjapan.jp/,小学館出身の鈴木会長が創業。運営サイトにおける電子書籍配信が柱。漫画の作品数は業界随一
情報・通信,3659,東証1部,(株)ネクソン,http://www.nexon.co.jp/,韓国発祥、ＰＣ向けオンラインゲーム先駆、００年日本進出。韓国子会社が売上高の７割占める
情報・通信,3660,東証1部,(株)アイスタイル,http://www.istyle.co.jp/,２０?３０代女性向け化粧品の口コミサイト「アットコスメ」運営、広告販売主力。通販、店舗運営も
情報・通信,3661,マザーズ,(株)エムアップ,http://www.m-up.com/,レコード会社が母体のＩＴベンチャー。芸能人のファンサイト運営が柱。ＣＤなど物販も展開
情報・通信,3662,東証1部,(株)エイチーム,http://www.a-tm.co.jp/,モバイルゲームと比較情報サイト運営が柱。ゲームはグリー向けに加え、スマホへの直接配信も
情報・通信,3663,東証2部,アートスパークホールディングス(株),http://www.artspark.co.jp/,セルシスとエイチアイが統合。携帯向けの電子コミック閲覧や３Ｄ動画向けソフトなど展開
情報・通信,3664,マザーズ,(株)モブキャスト,http://mobcast.co.jp/,スポーツ特化型ＳＮＳ「モブキャスト」通じたソーシャルゲーム主力。スポーツ予想、実況も
情報・通信,3665,マザーズ,(株)エニグモ,http://www.enigmo.co.jp/,服飾中心のソーシャル通販サイト「バイマ」運営。売り手、買い手双方からの手数料が利益源
情報・通信,3666,JQS,(株)テクノスジャパン,http://www.tecnos.co.jp/,ＳＡＰ中心にＥＲＰパッケージ導入支援が柱。独自ノウハウ付与するテンプレートに強み
情報・通信,3667,マザーズ,(株)ｅｎｉｓｈ,http://www.enish.jp/,ソーシャルアプリの企画・開発・運営会社。経営シミュレーションゲームが柱。女性向けに強い
情報・通信,3668,マザーズ,(株)コロプラ,http://colopl.co.jp/,位置情報含めたスマホ向けゲーム展開、ゲーム内での課金収入が柱。スマホ経由の売り上げ過半
情報・通信,3669,マザーズ,モバイルクリエイト(株),http://www.mcinc.jp/,タクシーやバス向けに車両などの移動体管理システム提供。九州地盤だが関西や首都圏進出
情報・通信,3670,JQS,協立情報通信(株),http://www.kccnet.co.jp/,ＯＢＣのＥＲＰソフト中堅代理店。技術力に定評。電話交換機販売やドコモショップ経営も
情報・通信,3671,マザーズ,ソフトマックス(株),http://www.s-max.co.jp/,Ｗｅｂ型電子カルテを主力とした総合医療情報システムを開発。九州地盤、東日本を重点開拓
情報・通信,3672,マザーズ,(株)オルトプラス,-,グリー向けソーシャルゲーム主力。オリジナルのほか、スクエニ等との共同開発タイトルも提供
情報・通信,3673,東証1部,(株)ブロードリーフ,http://www.broadleaf.co.jp/,整備、部品商など自動車アフター市場向け業務アプリで高シェア。部品流通ネットワーク運営
情報・通信,3674,マザーズ,(株)オークファン,http://aucfan.co.jp/,ネットオークション等の情報・価格検索や分析サービス行うサイト運営。膨大な蓄積データ武器
情報・通信,3675,マザーズ,(株)クロス・マーケティンググループ,http://www.cross-m.co.jp/,ネット市場調査核にマーケティング領域で事業展開。調査は２位級。中国に拠点。純粋持株会社
パルプ・紙,3708,東証1部,特種東海製紙(株),http://www.tt-paper.co.jp/,特種製紙と東海パルプが０７年統合、独立系。特殊紙と段ボール原紙用板紙を両輪に製紙８位級
情報・通信,3710,JQS,ジョルダン(株),http://www.jorudan.co.jp/,目的地までの経路探索ソフト「乗換案内」の開発販売が主軸。旅行販売や動画配信事業も展開
情報・通信,3711,JQS,(株)創通,http://www.sotsu-co.jp/,アニメ番組の企画・制作と版権が２本柱。「ガンダム」が収益基盤。プロ球団の版権契約代行も
情報・通信,3712,マザーズ,(株)情報企画,http://www.jyohokikaku.co.jp/,信金など金融機関対象の業務支援パッケージを開発、販売。事業会社向けにも進出意欲が強い
情報・通信,3715,東証1部,(株)ドワンゴ,http://info.dwango.co.jp/,動画投稿共有サイト「ニコニコ動画」軸に成長。携帯向け音楽配信、家庭用ゲーム、ライブ施設も
情報・通信,3719,JQS,(株)ジェクシード,http://www.gexeed.co.jp/,人事・会計に特化したＥＲＰコンサル企業。投資事業撤退し本業回帰で再建中。教育事業に注力
情報・通信,3723,マザーズ,日本ファルコム(株),http://www.falcom.co.jp/,プレステ用ゲームソフトの企画・開発主力、ロールプレイング系得意。アプリ等のライセンスも
情報・通信,3724,東証1部,(株)ベリサーブ,http://www.veriserve.co.jp/,ＳＣＳＫグループ。携帯、デジタル家電、高度道路交通システム（ＩＴＳ）のソフト検証で先駆的
小売業,3726,マザーズ,(株)フェヴリナホールディングス,http://www.favorina-holdings.co.jp/,化粧品、健康食品の通販会社。スキンケア、ベースメイク等が主力。中年向けの高価格品が多い
情報・通信,3727,マザーズ,アプリックスＩＰホールディングス(株),http://www.aplix-ip.com/,Ｊａｖａ技術使った携帯向け組み込みソフトを開発。ゲーム等コンテンツ事業参入。海外強化
情報・通信,3730,東証1部,(株)マクロミル,http://www.macromill.com/,インターネットを利用した調査会社で首位。機械化で短期間・低価格に強み。ヤフーと友好的
情報・通信,3731,マザーズ,(株)京王ズホールディングス,http://www.keiozu.co.jp/,東北地盤の携帯販売中堅。保険販売も。ゲーム、介護に進出。不祥事発覚し特設注意市場銘柄に
情報・通信,3733,JQS,(株)ソフトウェア・サービス,http://www.softs.co.jp/,病院向け電子カルテなど医療情報システムを開発。ハードウエアの販売から保守サービスも
情報・通信,3734,マザーズ,(株)インテア・ホールディングス,http://www.inteahd.co.jp/,創業のＩＴインフラ事業から完全撤退。スマートインフラ事業、コンテンツ配信事業に戦略転換
情報・通信,3738,東証1部,(株)ティーガイア,http://www.t-gaia.co.jp/,携帯販売代理店最大手。０８年に大手２社が合併。光回線販売や決済サービスも。中国市場強化
情報・通信,3739,名古屋セ,コムシード(株),http://www.commseed.net/,パチンコ関連の携帯電話コンテンツなどモバイル事業に特化。オンラインゲームからは撤退
情報・通信,3741,JQS,(株)セック,http://www.sec.co.jp/,リアルタイムソフトウエア技術に強み。携帯電話組み込みソフトが柱。ロボット技術の開発も
情報・通信,3742,マザーズ,ＩＴｂｏｏｋ(株),http://www.itbook.co.jp/,官公庁向け主体のＩＴコンサル。業務最適化・情報システム効率化を戦略提案。収益は下期偏重
情報・通信,3744,マザーズ,サイオステクノロジー(株),http://www.sios.com/,オープンソース等の開発会社。システム障害回避ソフトが柱。大塚商会、テンプスタッフと親密
情報・通信,3747,マザーズ,(株)インタートレード,http://www.itrade.co.jp/,証券ディーリングやＦＸ取引システムの開発・保守が主力。一般法人向けシステムへも進出
情報・通信,3750,東証2部,セブンシーズホールディングス(株),http://www.sshd.co.jp/,メディア（広告と物販）、カード決済システム、新規のサービサー（債権回収業）が３本柱
情報・通信,3751,マザーズ,日本アジアグループ(株),http://www.japanasiagroup.jp/,測量、不動産、太陽光発電、金融が４本柱。主要子会社の国際航業ＨＤを１２年４月完全子会社化
情報・通信,3752,JQS,(株)ワイズマン,http://www.wiseman.co.jp/,福祉施設、医療機関向けの業務系コンピュータシステムの開発、販売。電子カルテも強化中
情報・通信,3753,マザーズ,(株)フライトシステムコンサルティング,http://www.flight.co.jp/,ＩＴコンサル・開発手掛ける。携帯電話用電子決済、ＰＯＳ端末やＷｅｂアプリサービスを育成
情報・通信,3754,JQS,エキサイト(株),http://www.excite.co.jp/,インターネットポータル。顧客の女性比率高い。広告とコンテンツが２本柱。伊藤忠商事傘下
情報・通信,3756,マザーズ,(株)豆蔵ホールディングス,http://www.mamezou-hd.com/,ソフト開発コンサル主力、技術者の教育研修、プロジェクト管理など各種ツールも手掛ける
情報・通信,3758,JQS,(株)アエリア,http://www.aeria.jp/,国内外で展開するＰＣオンラインゲームが収益柱。１０年２月金融撤退。企業買収、売却繰り返す
情報・通信,3760,JQS,(株)ケイブ,http://www.cave.co.jp/,１１年グリーと資本・業務提携結びソーシャルゲームが柱に。ＰＣオンラインゲームも展開
情報・通信,3762,東証1部,テクマトリックス(株),http://www.techmatrix.co.jp/,情報基盤事業とアプリケーション事業との２本柱。クラウド型ビジネス強化、楽天と事業連携
情報・通信,3763,JQS,(株)プロシップ,http://www.proship.co.jp/,独立系。会計パッケージがメイン、特に固定資産管理、リース資産の管理などに強み。好財務
情報・通信,3765,JQS,ガンホーオンラインエンターテイメント(株),http://www.gungho.co.jp/,ＰＣオンラインゲーム「ラグナロク」から出発。スマホゲーム「パズル＆ドラゴンズ」が大当たり
情報・通信,3766,JQS,システムズ・デザイン(株),http://www.sdcj.co.jp/,データ入力やコールセンター業務、ＳＩが主力。独立系業務パッケージのＰＣＡ会長が筆頭株主
情報・通信,3768,JQS,リスクモンスター(株),http://www.riskmonster.co.jp/,東京商工リサーチ企業情報活用しネットで審査、与信管理サービスを提供。配当性向２０％以上
情報・通信,3769,東証1部,ＧＭＯペイメントゲートウェイ(株),http://www.gmo-pg.com/,消費者向けＥＣ（電子商取引）業者に決済処理サービス提供。ＧＭＯ子会社。配当性向３５％メド
情報・通信,3770,東証1部,(株)ザッパラス,http://www.zappallas.com/,携帯電話向けコンテンツ配信。占いが主力で２０?３４歳の女性層に強み。モバイル中心の通販育成
情報・通信,3771,JQS,(株)システムリサーチ,http://www.sr-net.co.jp/,製造業を中心とした企業向け情報システム構築と保守・運用。トヨタグループ向けが約４割
情報・通信,3772,マザーズ,ドリームバイザー・ホールディングス(株),http://www.dreamvisor.com/,投資家向けにニュース等金融情報を配信。日本証券新聞社が子会社。あかつきＦＧが資本参加
情報・通信,3773,マザーズ,(株)アドバンスト・メディア,http://www.advanced-media.co.jp/,音声を文字変換する独自技術核にした各種業務用ソフト開発が柱。テレマーケティングは撤退
情報・通信,3774,東証1部,(株)インターネットイニシアティブ,http://www.iij.ad.jp/,ネット接続の草分け。法人向け主体。システム構築や情報セキュリティソフトも。ＮＴＴ系列
情報・通信,3775,名古屋セ,(株)ガイアックス,http://www.gaiax.co.jp/,ソーシャルゲーム利用者からの問い合わせ対応代行が主力。ネットいじめ対策など投稿監視も
情報・通信,3776,JQS,(株)ブロードバンドタワー,http://www.bbtower.co.jp/,都市型データセンターを運用。ファッション通販支援も。ヤフー、ＱＶＣジャパンへ依存度高い
